Dataset1,Dataset2
22,2
244,2
188,2
238,32
8,285
135,216
287,216
279,265
241,265
45,265
51,307
99,307
43,307
158,307
14,307
135,307
16,92
161,92
10,208
137,359
204,359
275,359
183,49
222,56
115,56
58,56
260,56
170,56
161,56
151,56
287,56
348,220
239,220
158,220
289,220
95,220
188,220
105,220
348,220
298,220
309,220
244,125
251,125
343,125
143,125
52,125
251,125
296,220
162,344
191,344
288,344
260,344
237,344
204,344
173,344
111,344
21,344
197,220
314,220
227,220
322,220
348,34
313,34
166,34
174,34
119,34
314,34
317,34
42,34
314,34
18,34
302,299
197,299
320,299
120,299
149,299
331,299
239,299
8,299
134,299
338,299
225,299
132,299
244,299
248,299
19,299
214,299
105,62
163,62
354,62
300,62
105,62
152,62
149,62
258,62
114,98
302,98
226,98
334,98
79,325
334,325
120,325
322,325
152,325
18,325
79,206
195,206
76,309
314,309
193,309
108,309
136,309
257,309
304,309
79,309
24,309
53,229
89,229
263,229
267,229
340,229
256,229
109,194
87,327
286,327
103,327
190,327
263,327
356,327
354,327
8,327
354,327
149,325
129,295
221,295
62,295
52,214
87,214
201,214
179,214
100,214
283,214
201,214
252,214
288,214
294,198
250,38
62,38
34,38
50,38
250,38
78,38
350,38
78,38
87,38
,187
,255
,255
,255
,255
,255
,255
,15
,15
,15
,15
,80
,80
,80
,80
,80
,80
,187
,187
,187
,187
,178
,178
,178
,178
,178
,178
,15
,15
,15
,15
,300
,300
,300
,300
,300
,300
,300
,300
,300
,300
,253
,253
,253
,253
,253
,253
,15
,63
,63
,63
,198
,198
,198
,198
,198
,198
,247
,176
,254
,157
,157
,157
,157
,157
,157
,157
,157
,157
,325
,325
,156
,156
,156
,156
,156
,156
,156
,151
,151
,151
,98
,37
,37
,37
,37
,315
,315
,315
,315
,315
,315
,8
,8
,8
,8
,8
,8
,8
,8
,8
,8
,8
,8
,168
,168
,168
,168
,168
,168
,168
,168
,168
,168
,115
,115
,115
,115
,115
,115
,115
,115
,115
,23
,23
,311
,311
,311
,311
,260
,260
,260
,347
,347
,347
,347
,347
,347
,347
,347
,347
,347
,347
,347
,347
,347
,347
,267
,79
,79
,79
,79
,79
,79
,79
,79
,212
,212
,212
,212
,212
,212
,212
,212
,212
,212
,212
,212
,37
,37
,37
,37
,37
,315
,315
,315
,315
,315
,315
,315
,8
,8
,8
,176
,176
,176
,176
,276
,276
,276
,276
,276
,276
,144
,144
,144
,144
,265
,265
,265
,98
,98
,98
,98
,98
,98
,98
,98
,98
,53
,53
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,105
,105
,105
,105
,105
,105
,244
,244
,244
,244
,244
,244
,244
,244
,244
,244
,336
,11
,11
,11
,105
,116
,116
,116
,116
,116
,116
,116
,116
,116
,116
,254
,2
,2
,269
,269
,269
,269
,269
,269
,275
,275
,160
,160
,160
,206
,206
,206
,206
,206
,252
,252
,27
,27
,27
,27
,27
,27
,27
,290
,283
,283
,283
,283
,283
,283
,283
,283
,283
,283
,353
,353
,353
,291
,291
,291
,291
,291
,291
,291
,291
,291
,32
,32
,32
,32
,32
,32
,32
,32
,32
,32
,44
,44
,44
,44
,44
,44
,235
,235
,235
,235
,235
,235
,235
,231
,231
,231
,231
,231
,231
,231
,231
,231
,231
,231
,231
,231
,316
,316
,316
,316
,316
,316
,316
,316
,316
,316
,93
,93
,93
,93
,93
,93
,93
,84
,84
,84
,84
,71
,93
,225
,176
,176
,176
,69
,69
,69
,69
,69
,69
,69
,69
,274
,274
,12
,12
,12
,12
,12
,12
,12
,12
,12
,12
,1
,1
,19
,19
,19
,19
,19
,19
,19
,19
,118
,118
,30
,30
,30
,30
,30
,30
,30
,269
,269
,75
,75
,75
,75
,75
,75
,75
,75
,75
,92
,92
,92
,154
,154
,154
,154
,154
,154
,240
,240
,240
,3
,3
,3
,3
,3
,157
,157
,1
,1
,19
,19
,19
,19
,19
,19
,267
,267
,43
,268
,268
,3
,3
,3
,3
,3
,3
,3
,3
,218
,218
,218
,218
,218
,218
,218
,218
,165
,165
,13
,13
,13
,13
,13
,13
,13
,13
,13
,305
,305
,136
,136
,136
,136
,136
,136
,136
,136
,100
,100
,100
,100
,290
,290
,290
,290
,290
,290
,250
,192
,192
,192
,192
,192
,192
,192
,216
,216
,216
,116
,116
,116
,213
,213
,213
,213
,213
,213
,213
,252
,252
,252
,252
,252
,252
,252
,29
,29
,29
,29
,29
,29
,29
,29
,29
,19
,19
,19
,301
,301
,301
,301
,301
,301
,301
,301
,301
,82
,251
,251
,251
,251
,251
,251
,251
,251
,251
,82
,82
,82
,82
,82
,82
,82
,82
,82
,82
,14
,14
,14
,14
,14
,14
,14
,14
,14
,14
,14
,14
,14
,14
,14
,14
,14
,14
,14
,14
,14
,82
,82
,183
,183
,183
,183
,183
,183
,183
,183
,219
,219
,219
,219
,219
,219
,219
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,219
,98
,98
,98
,98
,98
,98
,98
,135
,135
,336
,336
,336
,336
,336
,336
,336
,336
,336
,336
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,244
,244
,244
,244
,244
,244
,244
,39
,39
,39
,22
,22
,22
,22
,22
,22
,22
,148
,148
,148
,246
,246
,246
,246
,246
,246
,355
,355
,355
,355
,216
,216
,216
,73
,73
,73
,73
,73
,73
,265
,265
,265
,265
,148
,148
,148
,148
,148
,148
,148
,148
,342
,353
,87
,87
,2
,2
,291
,238
,238
,238
,238
,238
,238
,273
,273
,273
,273
,273
,273
,273
,273
,273
,273
,62
,2
,2
,2
,2
,247
,240
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
,135
